date;Value;% Change;Open;High;Low;Turnover;
30.10.2012;448,45;0,58;444,48;450,13;444,48;74.178.964;
29.10.2012;445,85;-0,68;448,88;448,88;445,15;14.865.640;
26.10.2012;448,88;0,26;446,51;449,65;446,49;4.654.954;
25.10.2012;447,72;-0,24;448,65;448,97;444,87;14.012.100;
24.10.2012;448,78;-0,59;451,17;452,14;446,03;10.335.912;
23.10.2012;451,45;1,54;444,37;453,47;444,37;59.810.170;
22.10.2012;444,62;0,92;441,73;444,62;440,50;56.216.009;
19.10.2012;440,58;0,37;438,86;441,09;437,45;9.501.375;
18.10.2012;438,94;0,13;437,87;439,68;437,87;10.465.071;
17.10.2012;438,35;0,04;436,88;440,35;436,88;63.783.208;
16.10.2012;438,16;0,35;437,86;439,48;435,96;11.155.441;
15.10.2012;436,64;-0,39;437,02;437,53;433,84;11.385.792;
12.10.2012;438,34;0,23;437,87;438,34;434,12;16.444.292;
11.10.2012;437,32;0,19;435,91;437,59;435,55;8.528.722;
10.10.2012;436,47;-0,28;437,41;437,83;435,54;11.546.569;
09.10.2012;437,71;0,80;433,95;438,31;433,42;9.002.868;
08.10.2012;434,23;0,07;433,80;434,70;433,66;9.320.843;
05.10.2012;433,94;-0,16;434,24;434,44;433,52;8.210.707;
04.10.2012;434,62;0,63;432,11;434,94;431,49;14.041.532;
03.10.2012;431,91;0,01;431,29;432,99;429,38;70.878.113;
02.10.2012;431,86;0,46;429,66;432,97;427,16;32.738.961;
01.10.2012;429,87;-0,26;429,88;431,41;429,29;9.614.651;
28.09.2012;430,99;-0,01;429,73;431,04;429,38;15.090.026;
27.09.2012;431,03;-0,38;430,93;432,75;430,93;22.926.617;
26.09.2012;432,67;-0,24;431,64;434,07;431,42;22.199.781;
25.09.2012;433,72;-0,40;434,21;434,22;431,14;18.644.041;
24.09.2012;435,48;-0,48;436,13;437,46;432,17;9.389.262;
21.09.2012;437,57;0,39;435,17;437,94;435,17;16.203.151;
20.09.2012;435,88;-0,12;435,62;437,56;434,65;20.199.949;
19.09.2012;436,40;-0,40;437,90;440,55;436,29;24.910.954;
18.09.2012;438,16;0,22;436,24;438,55;436,24;10.300.358;
17.09.2012;437,21;-0,22;438,46;439,05;435,83;6.660.702;
14.09.2012;438,19;0,83;435,01;438,19;435,01;49.385.453;
13.09.2012;434,57;-0,50;433,75;434,90;433,48;7.160.142;
12.09.2012;436,74;-0,05;438,35;438,35;435,39;60.883.278;
11.09.2012;436,98;-0,04;437,98;438,11;436,10;6.120.816;
10.09.2012;437,15;-0,23;437,79;437,90;436,09;18.649.201;
07.09.2012;438,16;-0,41;439,29;439,29;437,33;4.603.136;
06.09.2012;439,96;0,06;439,46;440,13;439,46;7.567.928;
05.09.2012;439,70;0,07;439,19;440,49;439,19;3.859.217;
04.09.2012;439,41;-0,36;441,39;441,45;438,52;5.263.670;
03.09.2012;440,98;0,36;442,46;442,53;440,89;9.907.858;
31.08.2012;439,42;-0,41;441,09;441,09;439,22;3.863.130;
30.08.2012;441,25;0,22;441,02;441,79;439,68;27.040.743;
29.08.2012;440,30;-0,84;443,26;443,64;440,18;26.559.936;
28.08.2012;444,05;0,25;445,66;446,17;441,08;10.279.867;
27.08.2012;442,95;-0,10;442,83;442,95;438,94;86.039.119;
24.08.2012;443,40;-0,17;440,01;443,40;439,42;20.302.139;
23.08.2012;444,14;0,24;442,86;445,88;442,56;17.169.350;
22.08.2012;443,08;-0,65;446,36;446,36;442,67;764.099.908;
21.08.2012;445,96;-0,67;448,35;449,65;445,56;7.172.076;
20.08.2012;448,99;0,84;444,64;450,44;443,33;16.716.726;
17.08.2012;445,26;0,41;442,65;446,90;442,65;295.418.095;
16.08.2012;443,46;-0,10;442,62;444,23;441,99;7.229.375;
15.08.2012;443,92;0,39;442,24;444,24;442,24;6.529.689;
14.08.2012;442,18;0,29;440,67;443,86;439,49;35.658.877;
13.08.2012;440,92;0,22;441,66;444,67;440,24;15.978.135;
